timestamp;programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;birthday;student_estimate;stress;sports;random_number;bedtime;good_day_1;good_day_2;age
2025-04-01 12:17:00;Artificial Intelligence;yes;unknown;yes;yes;male;yes;1888-01-01;0.6153846153846154;0.78;0.0;928393.0;0.2777777777777778;Food;Travel;
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;2002-01-31;0.4634615384615385;;0.08695652173913043;31.416;0.3055555555555556;sun;coffee;0.17391304347826086
2025-04-01 12:17:00;Econometrics;yes;yes;yes;yes;male;not willing to say;;0.23076923076923078;;0.17391304347826086;5.0;0.3055555555555556;Zonnetje;Aperol;
2025-04-01 12:17:00;Econometrics;yes;no;yes;no;male;yes;2003-10-17;0.5192307692307693;0.6;0.2608695652173913;37.0;0.2222222222222222;Sun;Sun;0.08695652173913043
2025-04-01 12:17:00;Bioinformatics;yes;yes;yes;yes;male;yes;2000-04-19;0.8076923076923077;0.5;0.34782608695652173;1.0;0.2777777777777778;-;-;0.21739130434782608
2025-04-01 12:17:00;Econometrics;no;unknown;yes;no;other;not willing to say;;0.7442307692307693;0.997;0.34782608695652173;0.0;0.5555555555555556;Chocolate;Bitterballen;
2025-04-01 12:17:00;Econometrics;no;no;yes;yes;female;yes;1999-10-25;0.8076923076923077;0.6;0.17391304347826086;4.0;0.2777777777777778;Sun;Good food;0.2608695652173913
2025-04-01 12:17:00;Computer Science;yes;no;no;yes;male;not willing to say;2025-04-01;0.6153846153846154;0.3;0.043478260869565216;6656678.0;0.2777777777777778;good food;good grade;
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;yes;female;yes;2001-01-29;0.8076923076923077;0.6;0.13043478260869565;888.0;0.19444444444444445;Sun1;Sun2;0.21739130434782608
2025-04-01 12:17:00;Computer Science;no;no;yes;yes;other;not willing to say;2000-08-01;0.23076923076923078;0.7;0.043478260869565216;4,20E+32;0.3888888888888889;Work done good;Then smoke weed;0.21739130434782608
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;1999-10-19;0.3269230769230769;1.0;0.17391304347826086;3.0;0.2222222222222222;Good food ;Nice company ;0.2608695652173913
