timestamp;student_estimate;stress;sports;bedtime;age;programme_Artificial Intelligence;programme_Bioinformatics;programme_Business Analytics;programme_Computational Science;programme_Computer Science;programme_Econometrics;programme_Finance;programme_Other;machine_learning_no;machine_learning_unknown;machine_learning_yes;information_retrieval_no;information_retrieval_unknown;information_retrieval_yes;statistics_no;statistics_unknown;statistics_yes;databases_no;databases_unknown;databases_yes;gender_female;gender_male;gender_other;chatgpt_no;chatgpt_not willing to say;chatgpt_yes
2025-04-01 12:17:00;0.6153846153846154;high;0.0;0.2777777777777778;0.20263975155279498;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;True;False;False;False;True
2025-04-01 12:17:00;0.4634615384615385;medium;0.08695652173913043;0.3055555555555556;0.17391304347826086;True;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True
2025-04-01 12:17:00;0.23076923076923078;medium;0.17391304347826086;0.3055555555555556;0.17391304347826086;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;True;False;False;True;False
2025-04-01 12:17:00;0.5192307692307693;medium;0.2608695652173913;0.2222222222222222;0.08695652173913043;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True
2025-04-01 12:17:00;0.8076923076923077;medium;0.34782608695652173;0.2777777777777778;0.21739130434782608;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;True;False;False;False;True
2025-04-01 12:17:00;0.7442307692307693;high;0.34782608695652173;0.5555555555555556;0.17391304347826086;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;True;False;True;False
2025-04-01 12:17:00;0.8076923076923077;medium;0.17391304347826086;0.2777777777777778;0.2608695652173913;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False;True;True;False;False;False;False;True
2025-04-01 12:17:00;0.6153846153846154;low;0.043478260869565216;0.2777777777777778;0.22826086956521738;False;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;True;False;False;True;False
2025-04-01 12:17:00;0.8076923076923077;medium;0.13043478260869565;0.19444444444444445;0.21739130434782608;True;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;True;False;False;False;False;True
2025-04-01 12:17:00;0.23076923076923078;high;0.043478260869565216;0.3888888888888889;0.21739130434782608;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;False;True;False;True;False
2025-04-01 12:17:00;0.3269230769230769;high;0.17391304347826086;0.2222222222222222;0.2608695652173913;True;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True
